1927,January,1926,48,"Vol 1, No 3",INTRODUCTION; Lady Snell
,,,,,The Electric Washing Day; Dorothy Vaughan
,,,,,An All Electric House in Switzerland; Mrs. G. Lawson
,,,,,"How Electricity is Made; J. W. Beauchamp, M.I.E.E."
,,,,,The American Housewife and Electricity; Mrs. Christine Frederick
,,,,,"Wireless Developments; Major F. H. Masters, O.B.E."
,,,,,"Doctoring the Vacuum — A Page for Girl Guides; Margaret Partridge, B.Sc."
,,,,,Kiddies' Korner; Elsie M. Giddens
,,,,,Electricity and Silk Stockings; Len Chaloner
,,,,,What Hackney is doing Electrically; Alderman Mrs. Hammer
,,,,,The New Cooking; Olive Louth
,,,,,The Electrical Development of Great Britain; Geo. Francis
,,,,,Electricity in the Schools;
,,,,,Quick and Tasty Dishes; Mary MacKirdy
1927,April,1926,70,"Vol 1, No 4","INTRODUCTION; Dame Henrietta Barnett, D.B.E."
,,,,,EDITORIAL — The Central Electricity Board;
,,,,,Electric Water Heating; P. C. Honey
,,,,,"The Domesticated Motor — A Page for Girl Guides; Margaret Partridge, B.Sc."
,,,,,"How Electricity is Made; J. W. Beauchamp, M.I.E.E."
,,,,,Wedding Presents; Len Chaloner
,,,,,Water Heating in Switzerland; Mrs. G. Lawson
,,,,,Electricity behind the Scenes; Blaise Wyndham
,,,,,Sound Scenery; Bernard C. Holding
,,,,,1st Annual Conference of Birmingham and Midlands Branch; Mrs. Hayes
,,,,,"What Manchester is doing Electrically; J. D. Peattie, B.Sc., A.M.I.E.E."
,,,,,"Electrical Home Hints; ""Electra"""
,,,,,Electricity on the Arlington Estate;
,,,,,London's New Electric Restaurant;
1927,July,1926,92,"Vol 1, No 5","INTRODUCTION; Lady Moir, O.B.E."
,,,,,EDITORIAL — The Need for More Women on Electricity Committees;
,,,,,The Work of The Electricity Commissioners; The Editor
,,,,,Refrigeration and the Preservation of Food;
,,,,,"Fancies in Fans — A Page for Girl Guides; Margaret Partridge, B.Sc."
,,,,,Nursery Magic; Len Chaloner
,,,,,"Development of Electricity Supply in Rural Districts in South Wales; W. A. Chamen, M.I.E.E."
,,,,,An All-Electric House — Baslow Hall; F. Martin
,,,,,Electricity and Everywoman; F. Martin
,,,,,Hydro-Electric Power Station at Augst on the Rhine; Mrs. Walton Lawson
,,,,,Cookery Notes; Mary MacKirdy
,,,,,"Hints in the Home; ""Electra"""
1927,October,1926,114,"Vol 1, No 6",INTRODUCTION; The Viscountess Elibank
,,,,,EDITORIAL — Electrical Development in Rural Areas;
,,,,,Our New Home at Kensington Court; The Editor
,,,,,Radio in the Home; Bernard C. Holding
,,,,,"Overhead Lines and Rural Electricity Development; Margaret Partridge, B.Sc."
,,,,,Ultra Violet Rays and Health; R. Rook-Jones
,,,,,Cookery Notes; Mary MacKirdy
,,,,,Electricity — A Page for Girl Guides; Hilda Taylor
,,,,,"West Ham Electricity Service; Councillor Mrs. Gregory, West Ham"
,,,,,"Home Hints; ""Electra"""
,,,,,Visit of the International Electro-Technical Commission to the Hydro-Electric Power Station of Meuse; Mrs. Walter Lawson
1928,January,1926,136,"Vol 1, No 7",INTRODUCTION; Lady Montagu of Beaulieu
,,,,,EDITORIAL — The Housewives’ Point of View;
,,,,,The Electric Kitchen and Clubroom; The Editor
,,,,,"Fused Quartz or Silica — and Some of its Uses; R. W. Clark, A.M.I.E.E."
,,,,,School Lighting;
,,,,,London’s Electric Shopping Facilities;
,,,,,Electric Appliances and Fears of Shocks; Mary M. de Gruchy
,,,,,Electric Lighting and Starting Sets on Motor Cars; C. Griff
,,,,,How We Wired a House in Paradise — A Page for Girl Guides; Beatrice Shilling and Mona Willis
,,,,,Electric Railways in Italy; Mrs. Walter Lawson
,,,,,Cookery Notes; Mary MacKirdy
,,,,,"Home Hints; ""Electra"""
1928,April,1926,158,"Vol 1, No 8",FRONTISPIECE; H.R.H. The Duchess of York
,,,,,EDITORIAL — The Electrical “Outlet” Campaign;
,,,,,How Many “Outlets” Have You in Your Home?; The Editor
,,,,,Bells and Batteries — A Page for Girl Guides; Mr. W. C. Jeary
,,,,,From the Copper Bar — A Watt Speaks Up; Warwick Holmes
,,,,,"Domestic Electrical Service on the North-East Coast; W. F. T. Pinkney, M.I.E.E."
,,,,,"How Electricity is Supplied to Rural Districts; Margaret M. Partridge, B.Sc."
,,,,,Our Portrait Page — Interesting Personalities in the E.A.W.;
,,,,,Electricity at the Zoo; Mrs. Walter Lawson
,,,,,"Art and Electricity; Henry Hyams, F.R.I.B.A., M.I.Struct.E."
,,,,,Cookery Notes; Mary MacKirdy
,,,,,"Home Hints; ""Electra"""
1928,July,1926,181,"Vol 1, No 9","FRONTISPIECE; Colonel R. E. Crompton, C.B., R.E., M.Inst.C.E., M.I.E.E."
,,,,,EDITORIAL — The I.M.E.A. Convention;
,,,,,The New President — Mrs. Wilfrid Ashley;
,,,,,That Good Deed — A Page for Girl Guides; Gladys F. Sharp
,,,,,The Electric Kettle; The Editor
,,,,,"Electric Light in the Poultry House; R. Borlase Matthews, W.E., A.M.I.C.E., M.I.E.E."
,,,,,"The Swindon Road Domestic Subjects Centres, Cheltenham;"
,,,,,"Electric Clocks; F. Hope-Jones, M.I.E.E., F.R.A.S."
,,,,,The Value of Refrigeration in Winter; A. H. Hunter
,,,,,"Useful Hints for the Home-Maker; ""Electra"""
,,,,,Our Portrait Page — Interesting Personalities in the E.A.W.;
,,,,,A Home-Maker’s View on the “Outlet” Campaign; Mrs. Walter Lawson
,,,,,Cookery Notes; Mary MacKirdy
1928,October,1926,202,"Vol 1, No 10",FRONTISPIECE; Mrs. Cadbury
,,,,,EDITORIAL — The Women’s National Specification;
,,,,,Our Portrait Page — Interesting Personalities in the E.A.W.;
,,,,,"Pristendall Lodge, Heaton Mersey;"
,,,,,Running a Country Showroom — A Page for Girl Guides; Mona Willis
,,,,,"An All-Electric Seaside Home; Doris M. Peattie, B.A."
,,,,,A Visit to the Highest Kitchen in Europe; Alice R. Bisset
,,,,,"Useful Hints for the Home-Maker; ""Electra"""
,,,,,The Electric Blanket;
,,,,,Electrical “Outlet” Campaign — Women’s National Specification;
,,,,,"A Water Power Scheme; Reginald W. Klitz, A.M.I.E.E."
,,,,,Cookery Notes; Mary MacKirdy
1929,January,1926,224,"Vol 1, No 11",FRONTISPIECE; The Dowager Lady Swaythling
,,,,,EDITORIAL — The North East Coast Exhibition;
,,,,,Our Portrait Page — Mrs. S. Z. Ferranti and Lady Bird;
,,,,,A Chat on Electrical “Outlets”; The Editor
,,,,,On Choosing an Electric Fire; Mrs. Walter Lawson
,,,,,Electricity in the Country Workshop — A Page for Girl Guides; Gladys Sharp
,,,,,Some New Ideas on House Lighting; Mary E. Proctor-Gregg
